Haltestelle,latitude,longitude
"Ahrensburg, Fritz-Reuter-Straße",10.228965,53.674196
"Ahrensburg, Grauer Esel",10.233686,53.674174
"Ahrensburg, Gustav-Delle-Straße",10.224769,53.684028
"Ahrensburg, Hamburger Straße",10.236042,53.671217
"Ahrensburg, Helgolandring",10.242059,53.685625
"Ahrensburg, Hermann-Löns-Straße",10.226788,53.676321
"Ahrensburg, Hinterm Vogelherd",10.236325,53.649581
"Ahrensburg, Husumweg",10.248948,53.684169
"Ahrensburg, Jochim-Klindt-Straße",10.262997,53.678190
"Ahrensburg, Jungborn",10.231271,53.683724
"Ahrensburg, Klaus-Groth-Straße",10.236889,53.675534
"Ahrensburg, Kornkamp (Mitte)",10.256670,53.685769
"Ahrensburg, Kornkamp (Springer)",10.256209,53.687562
"Ahrensburg, Kornkamp (Süd)",10.257795,53.681354
"Ahrensburg, Kremerberg",10.241837,53.695062
"Ahrensburg, Kurt-Fischer-Straße (Mitte)",10.261252,53.686619
"Ahrensburg, Kurt-Fischer-Straße (Nord)",10.261502,53.689438
"Ahrensburg, Kurt-Fischer-Straße (Süd)",10.262309,53.681468
"Ahrensburg, Lilienweg",10.223639,53.679408
"Ahrensburg, Manhagener Allee",10.242837,53.669928
"Ahrensburg, Meisenstieg",10.231918,53.645214
"Ahrensburg, Meisenweg",10.236915,53.645953
"Ahrensburg, Moltkeallee",10.245170,53.667954
"Ahrensburg, Norderoogstieg",10.249481,53.689888
"Ahrensburg, Nordstrandring",10.250075,53.686422
"Ahrensburg, Olandstieg",10.244186,53.687966
Ahrensburg Ost,10.242281,53.661308
"Ahrensburg, Otto-Schumann-Straße",10.226019,53.682184
"Ahrensburg, Pellwormstieg",10.242202,53.685336
"Ahrensburg, Pionierweg",10.220627,53.645411
"Ahrensburg, Rathaus",10.236286,53.673024
"Ahrensburg, Reesenbüttler Graben",10.227738,53.674154
"Ahrensburg, Reesenbüttler Redder",10.212126,53.677458
"Ahrensburg, Rondeel",10.239265,53.673488
"Ahrensburg, Rosenhof",10.240818,53.683068
"Ahrensburg, Rosenweg",10.222546,53.683784
"Ahrensburg, Schimmelmannstraße",10.213549,53.674335
"Ahrensburg, Schloß",10.242995,53.679379
"Ahrensburg, Schule Am Hagen",10.217746,53.642511
"Ahrensburg, Schulstraße",10.236468,53.677713
"Ahrensburg, Schulzentrum Am Heimgarten",10.220690,53.678989
"Ahrensburg, Selma-Lagerlöf-Schule",10.222838,53.673189
"Ahrensburg, Spechtweg",10.226540,53.645925
"Ahrensburg, Starweg",10.238078,53.657766
"Ahrensburg, Steinkamp",10.228787,53.682880
"Ahrensburg, Stormarner Werkstätten",10.261917,53.683566
"Ahrensburg, Stormarner Werkstätten (Kehre)",10.261704,53.683029
"Ahrensburg, Stormarnstraße",10.227319,53.676387
"Ahrensburg, Teichstraße",10.244225,53.645635
"Ahrensburg, Theodor-Storm-Stieg",10.221830,53.669210
"Ahrensburg, Vogteiweg",10.239427,53.685679
"Ahrensburg, Waldemar-Bonsels-Weg",10.220612,53.672637
"Ahrensburg, Weißdornweg",10.208612,53.670503
"Ahrensburg, Weizenkoppel",10.253619,53.679888
Ahrensburg West,10.219806,53.664639
"Ahrensburg, Wulfsdorfer Weg",10.215182,53.671111
Ahrensburger Platz,10.176033,53.655786
"Ahrensfelde, B 208",10.495506,53.764352
"Ahrensfelde, Schmiedeweg",10.499139,53.764181
"Ahrensfelde, Webertwiete",10.501786,53.760159
"Ahrensmoor-Nord, Schlangenweg",9.503096,53.404126
"Ahrensmoor-Ost, Drosselgasse",9.504361,53.395450
"Ahrensmoor-Ost, Schuldamm",9.503397,53.390162
"Ahrensmoor-West, Ahlerstedter Weg",9.487418,53.396626
"Ahrenswohlde, Kampshorn",9.476537,53.386202
"Ahrenswohlde, Landstraße",9.465676,53.378400
"Ahrenswohlde, Lange Straße",9.465047,53.378610
AIRBUS,9.847983,53.536604
AIRBUS (Am Tower),9.840938,53.541102
AIRBUS (Fähranleger/Haus 25-nur für Betriebsange.),9.841068,53.543113
AIRBUS (Kehre),9.847299,53.537112
AIRBUS (Schiffsanleger),9.840997,53.544830
AIRBUS (Werkgelände - nur für Betriebsangehörige),9.832652,53.543181
AIRBUS(Osttor/Einfahrt-nur für Betriebsangehörige),9.846786,53.537853
AK Altona (Eingang),9.898253,53.555043
AK Barmbek,10.039923,53.605129
AK Harburg,9.951448,53.459008
AK St. Georg,10.014683,53.559970
AK Wandsbek,10.091347,53.568711
Alaskaweg,10.150570,53.628359
Albertinen-Krankenhaus (A Schnelsen),9.904984,53.632050
Albert-Schweitzer-Ring,10.123120,53.579442
Albertstraße,10.019779,53.549108
"Albsfelde, Möllerweg",10.700892,53.684325
"Albsfelde, Wilhelm-Bohn-Straße",10.694344,53.679951
Alfred-Mahlau-Weg,10.054483,53.609827
Alfredstraße,10.033022,53.557620
Algermissenstraße,10.011521,53.497018
Allermöhe,10.158464,53.490489
Allermöher Deich 187,10.140569,53.476069
Allermöher Deich 355,10.162523,53.472541
Allermöher Deich 365,10.164841,53.472465
Allermöher Deich 75,10.124559,53.482933
Allermöher Kirche,10.129314,53.482169
Allermöher Werftstegel,10.172336,53.471727
Alsenplatz,9.951807,53.566489
Alsterblick,10.123706,53.699302
Alsterchaussee,9.994021,53.572750
Alsterdorf,10.010926,53.606169
Alsterdorfer Damm,9.999389,53.613427
Alsterdorfer Straße/Überseekolleg,10.026711,53.617248
Alsterkrugchaussee (Mitte),10.005357,53.617861
Alsterkrugchaussee 244,9.995646,53.610403
Alsterredder,10.095590,53.659165
Alstertal-Einkaufszentrum,10.093025,53.655333
Alt Erfrade,10.276966,54.032411
"Alt Garge, Bahnhof",10.796211,53.265819
"Alt Garge, Hauptstraße",10.802069,53.265029
"Alt Garge, Turnhalle",10.798775,53.265474
"Alt Garge, Waldbad",10.803849,53.257831
"Alt Horst, Gut",10.770303,53.638280
"Alt Horst, Siedlung",10.764455,53.634026
"Alt Mölln, Am Brink",10.658380,53.622127
"Alt Mölln, Am Brook",10.657893,53.621289
"Alt Mölln, Am Horsberg",10.657706,53.627699
"Alt Mölln, Am Lausebusch",10.670569,53.621526
Alte Holstenstraße,10.208382,53.490489
Alte Horster Schule,10.283170,53.455895
Alte Landstraße (Nord),10.077301,53.653212
Alte Schule Moorburg,9.927750,53.494876
Alte Schule Neuland,10.027455,53.470473
Alte Schule Reitbrook,10.148817,53.468055
Alte Schule Seefeld,10.164318,53.444021
Alte Twiete,10.201396,53.419240
Alte Wöhr (Stadtpark),10.035419,53.597657
"Altendeich, Altendeicher Chaussee 47",9.595179,53.669589
"Altendeich, Altendeicher Chaussee 56",9.583883,53.662804
"Altendeich, Audeich",9.588558,53.666508
"Altendeich, Feuerwehr",9.567349,53.655836
"Altendeich, Sperrwerkstraße",9.570235,53.659828
"Altendorfer Moor, 3. Kanal",9.284020,53.745076
Altengamme (Feuerwehr),10.274411,53.430335
Altengamme (Süd),10.285869,53.427615
Altengammer Elbwiesen,10.279342,53.426723
Altengammer Löschplatz,10.290732,53.428731
Altengammer Marschbahndamm,10.301687,53.441578
Altengörs,10.354996,53.899286
"Altengörs, Bahnhofstraße",10.356719,53.898458
"Altengörs, Dorfplatz",10.362966,53.897830
"Altengörs, Neuengörser Straße",10.364621,53.898656
"Altenmoor, Bullendorf 11",9.620644,53.767527
"Altenmoor, Bullendorf 25",9.612225,53.765296
"Altenmoor, Feuerwehrhaus",9.607661,53.765218
Altenwerder Hauptstraße (Mitte),9.921450,53.500352
Altenwerder Hauptstraße (Süd),9.919251,53.499021
Alter Bahnhof Kirchwerder,10.200720,53.425168
Alter Berner Weg,10.121676,53.644043
Alter Fährweg,9.778318,53.531822
Alter Fährweg (Kehre),9.777369,53.531936
Alter Güterbahnhof,10.035425,53.591088
Alter Teichweg,10.064492,53.586655
Alter Zollweg,10.137217,53.607919
Altes Estesperrwerk,9.775425,53.533647
Altes Rathaus Rahlstedt,10.159031,53.602300
Altfresenburg,10.361655,53.823356
Altona,9.934356,53.551981
Altona (Fischmarkt),9.952237,53.543951
Altonaer Poststraße,9.940320,53.550119
Altwiedenthaler Straße,9.888252,53.478095
Aluminiumwerk,9.889535,53.517810
"Alvesen, Alveser Straße",9.893590,53.438277
"Alvesen, Heinrich-Wendt-Weg",9.886055,53.437740
"Alvesen, Im Alvesener Dorfe",9.889272,53.436871
Alveslohe,9.916593,53.791457
"Alveslohe, Brunskamp",9.909473,53.810200
"Alveslohe, Buschweg",9.916498,53.801017
"Alveslohe, Denkmal",9.914323,53.786856
"Alveslohe, Schäferei",9.888754,53.812538
"Alveslohe, Schule",9.915320,53.790819
Am Altenwerder Kirchtal,9.921610,53.507054
Am Altenwerder Kirchtal (Süd),9.921845,53.503961
Am Baum,10.225810,53.489278
Am Bergedorfer Hafen,10.206240,53.488291
Am Born,9.924013,53.554398
Am Botterbarg,9.834936,53.574866
Am Callabrack,10.009773,53.482449
Am Dalmannkai,9.994781,53.541493
Am Damm,10.089171,53.631980
Am Dornberg,10.108211,53.601722
Am Elisabethgehölz,10.062062,53.557213
Am Frankenberg,9.985521,53.436367
Am Friedhof,10.153939,53.591180
Am Fuchsberg,9.948320,53.465251
Am Gehöckel,10.054604,53.640098
Am Genter Ufer,9.895669,53.515563
Am Gleisdreieck,10.129187,53.495532
Am Gnadenberg,10.035488,53.638117
Am Güterbahnhof,10.201830,53.485244
Am Hegen,10.180492,53.589106
Am Hehsel,10.056292,53.647145
Am Hirschpark,9.821267,53.556657
Am Hohen Feld,10.115590,53.571039
Am Hohen Hause (Rentenversicherung),10.109824,53.592362
Am Horner Moor,10.100370,53.554620
Am Husarendenkmal,10.077934,53.564781
Am Isfeld,9.840880,53.571643
Am Jenfelder Moor,10.113802,53.576519
Am Kaiserkai (Elbphilharmonie),9.985578,53.542728
Am Kroog,10.141142,53.609508
Am Langberg,10.157848,53.515987
Am Licentiatenberg,9.983631,53.614187
Am Lilienberg,9.775448,53.584386
Am Mühlenbach,10.154353,53.531018
Am Neumarkt 63,10.096675,53.575680
Am Ohlendorffturm,10.168751,53.594882
Am Papenbrack,10.009018,53.488080
Am Pavillon,9.968767,53.433926
Am Pfeilshof,10.098407,53.640683
Am Pulverhof,10.137447,53.592884
Am Pulverhof (Mitte),10.135624,53.594743
Am Radeland,9.925650,53.471818
Am Rosengarten,9.822082,53.526290
Am Sandtorkai,9.991713,53.543153
Am Sandtorpark (Überseequartier),9.996343,53.541839
Am Schilfpark,10.204643,53.479771
Am Schleusengraben,10.206353,53.477417
Am Schulwald,10.027237,53.650112
Am Stadtrand,10.098875,53.588896
Am Stühm-Süd,10.099916,53.627793
Am Volkspark,9.908293,53.585517
Ameisweg,10.181583,53.477171
"Amelinghausen, Bahnhof",10.215753,53.130697
"Amelinghausen, Grundschule",10.220349,53.125223
"Amelinghausen, Kirche",10.212743,53.124599
"Amelinghausen, Oldendorfer Straße",10.214460,53.134098
"Amelinghausen, Soltauer Straße",10.208372,53.124824
"Ammersbek, Alter Teichweg",10.217264,53.710760
"Ammersbek, Beekkamp",10.159895,53.686126
"Ammersbek, Bramkampredder",10.206178,53.705014
"Ammersbek, Bünningstedter Feldweg",10.223347,53.709539
"Ammersbek, Hunnau",10.191910,53.700592
"Ammersbek, Joostredder",10.223136,53.700717
"Ammersbek, Laberg",10.184061,53.698235
"Ammersbek, Lehmkuhle",10.172487,53.693128
"Ammersbek, Pumpenhaus",10.226966,53.706393
"Ammersbek, Rathaus",10.167899,53.691457
"Ammersbek, Schäferdresch",10.211802,53.708336
"Ammersbek, Schneiderberg",10.216177,53.694094
"Ammersbek, Tannenkoppelweg",10.216569,53.710848
"Ammersbek, Teichweg",10.154294,53.681669
Amtsstraße,10.163372,53.596444
An de Geest,9.819350,53.469953
An den Wiesen,9.855681,53.479321
An der Bergkoppel,10.198800,53.500676
An der Eiche,10.010629,53.434180
An der Kleiderkasse,9.939845,53.559998
An der Lohe,9.952645,53.623854
An der Pollhofsbrücke,10.231152,53.479716
An der Schleemer Mühle,10.115954,53.537269
Andreas-Meyer-Straße (Mitte),10.078300,53.518089
Andreas-Meyer-Straße (Ost),10.081640,53.516019
Andreas-Meyer-Straße (West),10.071888,53.522064
Angerburger Straße,10.087505,53.591744
"Anker, Ankerweg",10.642063,53.687285
"Anker, Hauptstraße",10.636669,53.686379
Ankunftszentrum Rahlstedt,10.157979,53.622923
Anna-Siemsen-Gang,10.180679,53.483640
Anna-Susanna-Stieg,9.921444,53.643039
Anne-Frank-Straße,9.789321,53.570404
Anton-Rée-Schule,10.174460,53.482410
Apensen,9.611844,53.441606
"Apensen, Beckdorfer Straße",9.614202,53.433779
"Apensen, Feldstraße",9.625695,53.439703
"Apensen, Gräfenweg",9.611269,53.439095
"Apensen, Grundschule",9.615794,53.436655
"Apensen, Rathaus",9.619288,53.435819
"Apensen, Schulzentrum",9.608434,53.431283
"Apensen, Stader Straße",9.611956,53.437690
"Apensen, Zentrum",9.615749,53.434570
Apostelkirche,9.945243,53.575329
"Appel, Alter Postweg",9.733508,53.378914
"Appel, Gemeindehaus",9.745795,53.390635
"Appel, Kreisstraße",9.747149,53.391553
Appelbütteler Weg,9.934606,53.436633
"Appen, Bouhlentwiete",9.743265,53.659821
"Appen, Denkmal",9.747878,53.660299
"Appen, Friedhof",9.754585,53.650686
"Appen, Kaserne",9.712310,53.658475
"Appen, Pinnaubogen",9.753482,53.659284
"Appen, Schule",9.735902,53.661337
"Appen, Schulstraße",9.738244,53.660266
"Appen, Turnhalle",9.734279,53.662907
"Appen, Unterglinde",9.704199,53.664633
"Appen, Ziegeleiweg",9.705324,53.659809
"Appen-Etz, Denkmal",9.754118,53.634696
"Appen-Etz, Kiesgrube",9.735295,53.630329
"Appen-Etz, Rollbarg",9.761016,53.638327
"Appen-Etz, Wedeler Chaussee",9.761059,53.639010
Archenholzstraße (Ost),10.125501,53.544646
"Ardestorf, Am Dorfteich",9.761804,53.430187
Arenen,9.899358,53.588595
Arenen(Luftbadweg),9.897443,53.584161
Argentinienbrücke,9.976087,53.528222
Argentinienbrücke (Fähre),9.974499,53.528011
Armbruststraße,9.939934,53.574230
"Armstedt, Dorfstraße",9.850973,53.970712
"Armstedt, Schulstraße",9.848197,53.972097
Arningstraße,9.985205,53.537052
Arningstraße (Fähre),9.984574,53.537156
Arnswalder Straße,10.151470,53.613677
Arp-Schnitger-Stieg,9.811451,53.513703
"Artlenburg, B 209",10.493714,53.368259
"Artlenburg, Elbdeich",10.482726,53.375046
"Artlenburg, Große Straße",10.486877,53.370842
"Artlenburg, Grünstraße",10.491966,53.371983
"Artlenburg, Hopfenhof",10.486573,53.372464
"Artlenburg, Mühle",10.498185,53.370225
"Artlenburg, Ost",10.504430,53.367935
Aschenputtelstraße,10.119651,53.562483
"Aschhorn, Schwarzer Weg",9.343200,53.704965
Aschhorn 12,9.348261,53.701806
Aschhorn 2,9.353432,53.691836
Aschhorn 6,9.349575,53.695818
Aschhornermoor 5,9.349378,53.684938
"Asendorf, Am Mühlenberg",9.981609,53.293347
"Asendorf, Föhrenweg",9.985052,53.305450
"Asendorf, Hanstedter Straße",9.979773,53.289795
"Asendorf, Hinnerkstraße",9.979157,53.290393
"Asendorf, Hinterm Holze",9.991241,53.289646
"Asendorf, Salemsweg",9.976232,53.283139
"Asendorf, Schulstraße",9.979189,53.289818
"Asendorf, Waterfuhr",9.975628,53.293459
"Asendorf, Zum Auetal",9.986539,53.303559
Ashausen,10.145868,53.368621
"Ashausen, Büllhorner Weg",10.106861,53.359149
"Ashausen, Grundschule",10.127421,53.366424
"Ashausen, Im Twieten",10.139225,53.364569
"Ashausen, Königsberger Straße",10.123291,53.361898
"Ashausen, Schlehenweg",10.126474,53.362425
"Ashausen, Steinhage",10.124855,53.368821
Asklepios Westklinikum (Mitte),9.778932,53.582486
Asklepios Westklinikum (Ost),9.782229,53.582006
Asklepios Westklinikum (West),9.773643,53.582259
"Assel, Asseler Feldstraße",9.424955,53.694370
"Assel, Asseler Hafenstraße",9.437435,53.690534
"Assel, Schule",9.429280,53.692486
Asselermoor 19,9.417430,53.660730
Asselermoor 33,9.410063,53.662238
Asselermoor 55,9.401229,53.663885
Auedeich,9.884717,53.526795
Auenstraße,10.050699,53.572427
Auerhahnweg,10.140784,53.590597
Auf dem Sande (Speicherstadt),9.989889,53.543878
Auf dem Sülzbrack,10.177818,53.407559
Auf der Bojewiese,10.177833,53.496725
Auf der Hohen Schaar,9.963508,53.497576
Auf der Jahnhöhe,9.929671,53.453887
Augustastraße,10.215308,53.490859
August-Bebel-Straße,10.233935,53.483192
Auguste-Baur-Straße,9.813499,53.559154
Augustenburger Straße,9.944630,53.565450
August-Kirch-Straße,9.897696,53.571446
Aumühle,10.314610,53.530046
"Aumühle, Augustinum",10.311059,53.530309
"Aumühle, Bürgerstraße",10.313014,53.521717
"Aumühle, Dora-Specht-Allee",10.312171,53.525506
"Aumühle, Ernst-Anton-Straße",10.319391,53.523263
"Aumühle, Große Straße",10.304785,53.526379
"Aumühle, Kuhkoppel",10.323767,53.521426
"Aumühle, Lindenstraße",10.310894,53.529359
"Aumühle, Sachsenwaldstraße",10.314623,53.525607
Aurubis Werk Ost,10.035356,53.515377
Aurubis Zentrale,10.033834,53.521609
Außenmühle,9.981951,53.450540
Ausschläger Allee (Kfz-Verwahrstelle),10.060049,53.531029
Ausschläger Weg (LBV),10.038300,53.547583
Australiastraße (Hafenmuseum),9.999224,53.525821
Auufer,9.704035,53.921517
"Avendorf, Elbuferstraße",10.469790,53.379465
Avendorf (Ost),10.457221,53.385478
"Avendorf, Recht Up",10.447055,53.387983
Avendorf (West),10.436877,53.387468
Avensermoor 5,9.609422,53.271076
Averhoffstraße,10.016826,53.570644
Axel-Springer-Platz,9.985527,53.552217
Baakenhöft,10.008576,53.538309
BAB-Auffahrt Horn,10.067762,53.559454
BAB-Auffahrt Nettelnburg,10.177509,53.475791
BAB-Auffahrt Ramelsloh,10.035429,53.343284
BAB-Auffahrt Stellingen,9.922215,53.596607
BAB-Auffahrt Volkspark,9.918010,53.580313
BAB-Auffahrt Waltershof,9.911922,53.514245
BAB-Auffahrt Waltershof (N),9.912438,53.514412
"Bachenbrock, Parkplatz",9.575519,53.588293
"Bachenbrock, Wendeplatz",9.570979,53.576436
Bachenbrock 17,9.569056,53.581630
Bachenbrock 86,9.574849,53.587882
Bachstraße,10.024860,53.577045
Bad Bevensen,10.574137,53.078221
Bad Bodenteich,10.672918,52.835055
Bad Bramstedt,9.890119,53.920526
"Bad Bramstedt, Am Köhlerhof(AST-Halt)",9.883125,53.910803
"Bad Bramstedt, Am Wittrehm(AST-Halt)",9.898086,53.901662
"Bad Bramstedt, An der Hudau(AST-Halt)",9.886095,53.914509
"Bad Bramstedt, Bimöhler Straße(AST-Halt)",9.897552,53.923562
"Bad Bramstedt, Bleeck",9.882360,53.918535
"Bad Bramstedt, Bob'n de Lieth (AST-Halt)",9.877241,53.926255
"Bad Bramstedt, Brügmann-Ring (AST-Halt)",9.897029,53.919783
"Bad Bramstedt, Butendoor",9.886850,53.914917
"Bad Bramstedt, Caspar-Fuchs-Weg(AST-Halt)",9.880056,53.913188
"Bad Bramstedt, Clashorn",9.940014,53.904261
"Bad Bramstedt, Dahlkamp(AST-Halt)",9.866958,53.922250
"Bad Bramstedt, Danziger Weg(AST-Halt)",9.865585,53.918433
"Bad Bramstedt, Düsternhoop(AST-Halt)",9.889567,53.923199
"Bad Bramstedt, Ellernbusch(AST-Halt)",9.868457,53.924791
"Bad Bramstedt, Friedhof(AST-Halt)",9.875690,53.918377
"Bad Bramstedt, Fuhlendorfer Weg",9.885828,53.925608
"Bad Bramstedt, Gemeinschaftsschule",9.871724,53.926717
"Bad Bramstedt, Goethering(AST-Halt)",9.869060,53.913520
"Bad Bramstedt, Graf-Stolberg-Straße (AST-Halt)",9.887451,53.928929
"Bad Bramstedt, Grundschule Am Bahnhof",9.889316,53.919948
"Bad Bramstedt, Gustav-Schatz-Weg(AST-Halt)",9.868860,53.898050
"Bad Bramstedt, Gymnasium",9.896040,53.926906
"Bad Bramstedt, Hamburger Straße (Mitte)",9.881500,53.910958
