Haltestelle,latitude,longitude
"Garstedt, ARRIBA-Bad",9.997183,53.688365
"Garstedt, Aspelohe",9.979432,53.669687
"Garstedt, Aurikelstieg",9.989310,53.690245
"Garstedt, Bornbarch",9.988035,53.663623
"Garstedt, Breslauer Straße",9.998085,53.684296
"Garstedt, Buchenweg (Ost)",9.994391,53.698990
"Garstedt, Buckhorn",9.977097,53.692376
"Garstedt, Buschweg",9.981057,53.693404
"Garstedt, Europaallee",9.987662,53.681273
"Garstedt, Fabersweg",9.987632,53.665792
"Garstedt, Fehmarnstraße",9.980552,53.708772
"Garstedt, Forstweg",9.994059,53.695183
"Garstedt, Friedhof",9.974604,53.677490
"Garstedt, Friedrich-Ebert-Straße",9.974534,53.683007
"Garstedt, Friedrichsgaber Weg (Mitte)",9.984550,53.708129
"Garstedt, Gewerbe im Park",9.980588,53.666048
"Garstedt, Görlitzer Weg",9.994924,53.681797
"Garstedt, Gutenbergring 1",9.976039,53.662976
"Garstedt, Gutenbergring 15",9.978329,53.663883
"Garstedt, Gutenbergring 26",9.984091,53.660574
"Garstedt, Hainholz",9.985699,53.715155
"Garstedt, Hallig-Hooge-Stieg",9.980304,53.711802
"Garstedt, Harthagen",9.976657,53.698858
"Garstedt, Helgolandstraße",9.976291,53.705276
"Garstedt, Hermann-Löns-Weg",9.976445,53.679883
"Garstedt, Heuberg",9.968488,53.672804
"Garstedt, In de Tarpen",9.989425,53.666748
"Garstedt, Kohfurth",9.984047,53.689147
"Garstedt, Kornhoop",9.964747,53.683895
"Garstedt (LK Harburg), Bahnhof",10.146628,53.292871
"Garstedt (LK Harburg), Brandweg",10.158701,53.286770
"Garstedt (LK Harburg), Gewerbegebiet",10.133115,53.284356
"Garstedt (LK Harburg), Grundschule",10.143962,53.294685
"Garstedt (LK Harburg), Hauptstraße",10.162303,53.281927
"Garstedt (LK Harburg), Lehmberg-Ost",10.151887,53.289334
"Garstedt (LK Harburg), Vierhöfener Straße",10.164605,53.284412
"Garstedt, Marommer Straße (Ost)",9.995889,53.691269
"Garstedt, Meyertwiete",9.970031,53.681310
"Garstedt, Möhlenbarg",9.974609,53.679664
"Garstedt, Niendorfer Straße (Mitte)",9.973840,53.665375
"Garstedt, Nordport (Süd)",9.980716,53.659200
"Garstedt, Nordportbogen (Ost)",9.977352,53.660261
"Garstedt, Nordportbogen (West)",9.971295,53.660633
"Garstedt, OBI-Markt Norderstedt",9.971488,53.667703
"Garstedt, Ohlenhoff",9.964086,53.673523
"Garstedt, Plambeckhof",9.973065,53.675067
"Garstedt, Rantzauer Forstweg (Museen)",9.976232,53.702078
"Garstedt, Rugenbarg (Mitte)",9.986871,53.670776
"Garstedt, Schierkamp",9.952529,53.687102
"Garstedt, Schillerstraße",9.984177,53.679810
"Garstedt, Stettiner Straße",9.979500,53.690236
"Garstedt, Südportal",9.984813,53.653892
"Garstedt, Tarpenbekstraße",9.987774,53.674417
"Garstedt, Ulzburger Straße 186",9.994464,53.702746
"Garstedt, Zwijndrechtring",9.986122,53.711872
Gartenfreunde Francoper Straße,9.867998,53.487212
Gartenholz,10.251822,53.688686
Gärtnerstraße,9.969533,53.584155
"Garze, Große Straße 29",10.695470,53.307096
"Garze, Große Straße 3",10.705388,53.301850
"Garze, Große Straße 71",10.684615,53.308796
Gätgensstraße,9.821676,53.559808
Gauensiekermoor 6,9.371597,53.671196
Gauert,10.088427,53.463814
Gauerter Hauptdeich 35,10.066760,53.463228
Gauerter Hauptdeich 77,10.069983,53.460269
Gaußstraße,9.928205,53.558408
Geestenseth,8.858517,53.506681
"Geesthacht, Alfred-Nobel-Schule",10.366659,53.436943
"Geesthacht, Alte Glasfabrik",10.382477,53.426796
"Geesthacht, Am Haferberg",10.390598,53.437763
"Geesthacht, Am Hang",10.395827,53.437037
"Geesthacht, Am Ilensoll",10.383202,53.442621
"Geesthacht, Am Moor",10.357833,53.440468
"Geesthacht, Am Schleusenkanal",10.322744,53.435838
"Geesthacht, Am Ziegenkrug",10.386442,53.436302
"Geesthacht, An der Post",10.368239,53.437410
"Geesthacht, Angerweg",10.371214,53.448447
"Geesthacht, Barmbeker Ring",10.393524,53.440263
"Geesthacht, Baustraße",10.362723,53.431507
"Geesthacht, Bergstraße",10.361209,53.447196
"Geesthacht, Berliner Straße",10.385326,53.435749
"Geesthacht, Berner Weg",10.401129,53.441306
"Geesthacht, Besenhorst",10.349391,53.454743
"Geesthacht, Birkenweg",10.369467,53.451244
"Geesthacht, Borgfelder Stieg",10.396900,53.439037
"Geesthacht, Breiter Berg",10.380436,53.427889
"Geesthacht, Breslauer Weg",10.366733,53.440645
"Geesthacht, Charlottenburger Straße",10.342857,53.439954
"Geesthacht, Düneberger Straße",10.363568,53.442846
"Geesthacht, Eichweg",10.373313,53.447255
"Geesthacht, Elbinsel",10.335404,53.430225
"Geesthacht, Fahrendorfer Weg",10.363047,53.456178
"Geesthacht, Fährstraße",10.379754,53.432381
"Geesthacht, Finkenweg (Nord)",10.380351,53.452646
"Geesthacht, Finkenweg (Süd)",10.378776,53.444469
"Geesthacht, Freibad",10.373257,53.428268
"Geesthacht, Frohnauer Straße",10.345314,53.434337
"Geesthacht, Grüner Jäger",10.414657,53.424505
"Geesthacht, Gutenbergstraße",10.368425,53.455335
"Geesthacht, Hafenbrücke",10.369098,53.429942
"Geesthacht, Hansastraße",10.404030,53.444390
"Geesthacht, Hanseatenweg",10.397436,53.441592
"Geesthacht, Heinrichshofweg",10.379602,53.446733
"Geesthacht, Helmholtz-Zentr. (Bibliothek)",10.424303,53.406589
"Geesthacht, Helmholtz-Zentr. (Kehre)",10.426873,53.403404
"Geesthacht, Helmholtz-Zentr. (Nobel-Pavillon)",10.422270,53.407835
"Geesthacht, Helmholtz-Zentrum (Eingang)",10.422905,53.411557
"Geesthacht, Hermsdorfer Straße",10.342142,53.434939
"Geesthacht, Heuweg",10.338125,53.436395
"Geesthacht, Hohenkamp",10.375146,53.446245
"Geesthacht, Ilenweg",10.385358,53.440906
"Geesthacht, Jugendherberge",10.390340,53.431692
"Geesthacht, Keil",10.371531,53.442432
"Geesthacht, Kirschenweg",10.349285,53.441912
"Geesthacht, Lauenburger Straße",10.385533,53.435638
"Geesthacht, Markt",10.373397,53.430288
"Geesthacht, Mercatorstraße (Ost)",10.361328,53.457052
"Geesthacht, Mercatorstraße (Stadtwerke)",10.353143,53.459104
"Geesthacht, Mercatorstraße (Süd)",10.355578,53.456605
"Geesthacht, Norderstraße",10.371744,53.433156
"Geesthacht, Oberstadt",10.402989,53.444313
"Geesthacht, Otto-Hahn-Gymnasium",10.362864,53.439179
"Geesthacht, Pastor-Natus-Ring",10.387338,53.443004
"Geesthacht, Pumpspeicherwerk",10.393878,53.419340
"Geesthacht, Querweg",10.380498,53.449742
"Geesthacht, Schäferstrift",10.358065,53.451041
"Geesthacht, Schiffbauerweg",10.378674,53.425986
"Geesthacht, Schleuse",10.339863,53.432808
"Geesthacht, Schulzentrum",10.382279,53.442928
"Geesthacht, Spandauer Straße",10.351173,53.434532
"Geesthacht, St. Petri Kirche",10.393122,53.437159
"Geesthacht, Tannenweg",10.370985,53.452556
"Geesthacht, Uhrbrookring",10.392693,53.442915
"Geesthacht, Vierlander Straße",10.326875,53.435137
"Geesthacht, Vierlander Straße (Kehre)",10.329344,53.436610
"Geesthacht, Waldfriedhof",10.397480,53.429173
"Geesthacht, Waldstraße",10.365743,53.440755
"Geesthacht, Wandsbeker Ring",10.394964,53.439186
"Geesthacht, Wärderstraße",10.354680,53.433135
"Geesthacht, Worther Weg",10.389198,53.438660
"Geesthacht, ZOB",10.373554,53.436082
"Geesthacht, Zöllnersweg (Mitte)",10.375512,53.452423
Geesthachter Weg,10.171246,53.588433
"Gehlensiel, Brunsholt",9.539642,53.773029
"Gehrden, Geestwiesenweg",10.154562,53.368977
"Gehrden, Saatgehrden",10.169876,53.366950
Gellersenweg,9.947580,53.455014
Genslerstraße,10.038189,53.592933
Georg-Blume-Straße,10.102132,53.562008
Georg-Heyken-Straße,9.900234,53.482732
Georgswerder Damm,10.026337,53.526463
Georgswerder Damm (Süd),10.025721,53.524653
Geranienweg,9.866065,53.578553
Gerda-Gmelin-Platz,10.014306,53.539801
Gerhart-Hauptmann-Platz,9.998428,53.550749
Gerichtstraße,9.943251,53.555730
Gersonweg,10.182601,53.474770
Gerstenwiese,10.160408,53.618371
Gertigstraße,10.011957,53.581064
Gertrud-Seele-Kehre,10.173312,53.480596
"Geschendorf, Im Winkel (Ost)",10.450880,53.922210
"Geschendorf, Lindenstraße",10.443215,53.921987
"Geschendorf, Schottenkrog (West)",10.458022,53.921422
"Geschendorf, Wohldredder",10.437698,53.921362
Geutensweg,9.839833,53.472336
"Geversdorf, Itzwörden",9.084668,53.802391
"Geversdorf, Vor den Höfen",9.792950,53.177280
Gewerbegebiet Moorfleet,10.090669,53.504822
Gewerbegebiet Obergeorgswerder,10.048057,53.508950
Gewerbepark Merkur,10.188591,53.607518
Gewerbepark Merkur (Süd),10.188228,53.603227
Gewerbepark Victoria,,
"Gienau, Am Steckelberg",10.671135,53.163735
"Gienau, Wiebecker Straße",10.664436,53.164512
Giesensdorf,10.710314,53.688207
Gilcherweg,10.113463,53.642251
Ginsterstieg,9.757550,53.573171
Gladowstraße,10.075106,53.579425
"Glasau, Grenzweg",10.507528,54.065339
"Glasau, Nesselteich",10.531413,54.045683
"Glasau, Neuland",10.546536,54.036028
"Glasau, Ort",10.520234,54.059815
"Glasau, Scheidekate bei Barghorst",10.554622,54.031009
"Glashütte, Am Böhmerwald",10.024822,53.685813
"Glashütte, Arlaustieg",,
Glashütte bei Heidmühlen,10.141390,53.949407
"Glashütte, Böttgerstraße",10.032719,53.683148
"Glashütte, Eiderstraße",,
"Glashütte, Friedhof",10.046502,53.681115
"Glashütte, Glashütter Damm",10.028186,53.693413
"Glashütte, Glashütter Kirchenweg",10.041548,53.690718
"Glashütte, Glasmoorstraße",10.027781,53.704117
"Glashütte, Hans-Böckler-Ring",10.051652,53.692184
"Glashütte, Hans-Salb-Straße",10.034106,53.684799
"Glashütte, Hofweg",10.050054,53.697347
"Glashütte, Immenhorst",,
"Glashütte, Jägerlauf",,
"Glashütte, Kreuzweg",,
"Glashütte, Lindenweg",10.028088,53.697448
"Glashütte, Markt (Ersatz)",10.034608,53.685513
"Glashütte, Robert-Koch-Straße (Mitte)",10.050914,53.685686
"Glashütte, Robert-Koch-Straße (Nord)",10.051232,53.689322
"Glashütte, Robert-Koch-Straße (West)",10.045838,53.686080
"Glashütte, Siegfriedstraße",10.060020,53.703477
"Glashütte, ZOB",10.037501,53.688669
Glashütter Landstraße,10.041547,53.647742
Glatzer Straße,10.144581,53.579688
Gleiwitzer Bogen,10.141088,53.570541
"Glinde, Am Sportplatz",10.217163,53.543505
"Glinde, An der alten Wache",10.217834,53.543229
"Glinde, Berliner Straße",10.232834,53.546993
"Glinde, Breiter Kamp",10.227687,53.539632
"Glinde, Buchenweg",10.219283,53.534848
"Glinde, Bünebüttler Weg",10.231018,53.541611
"Glinde, Friedhof",10.204379,53.546977
"Glinde, Gerhart-Hauptmann-Weg",10.204327,53.545154
"Glinde, Gutenbergstraße",10.227852,53.522908
"Glinde, Havighorster Weg",10.202470,53.540329
"Glinde, Kupfermühlenweg",10.204622,53.551306
"Glinde, Markt",10.211379,53.540122
"Glinde, Mühlenstraße",10.213459,53.542680
"Glinde, Olande",10.224607,53.544777
"Glinde, Quellental",10.197225,53.540499
"Glinde, Rotdornweg",10.225125,53.533450
"Glinde, Sandweg",10.207208,53.540380
"Glinde, Schulzentrum",10.221828,53.540995
"Glinde, Weißdornweg",10.227214,53.535791
"Glinde, Wilhelm-Bergner-Straße (Mitte)",10.224067,53.530235
"Glinde, Wilhelm-Bergner-Straße (Süd)",10.223630,53.528154
Glockenhausbrücke,10.123751,53.517319
Glückstadt,9.428313,53.788614
"Glückstadt, Admiralsweg",9.419379,53.804876
"Glückstadt, Am Markt",9.423519,53.787880
"Glückstadt, Amselweg",9.432127,53.783986
"Glückstadt, Anckenstraße",9.432976,53.788376
"Glückstadt, Bauernpriel",9.411158,53.802317
"Glückstadt, Bgm.-Schinkel-Straße",9.414736,53.792781
"Glückstadt, Bohnstraße",9.420789,53.789525
"Glückstadt, Breslauer Straße",9.423265,53.803353
"Glückstadt, Bürgerschule",9.421319,53.792461
"Glückstadt, Carl-Legien-Straße",9.420742,53.793964
"Glückstadt, Dänenkamp",9.435976,53.790854
"Glückstadt, Der Keil",9.438167,53.778393
"Glückstadt, Detlefsengymnasium",9.434955,53.791918
"Glückstadt, Elbschule",9.422737,53.797685
"Glückstadt, Elsterweg",9.436588,53.784069
"Glückstadt, Flensburger Straße",9.416536,53.801337
"Glückstadt, Fritz-Lau-Platz",9.419125,53.793062
"Glückstadt, Glückstädter Werkstätten",9.430573,53.780407
"Glückstadt, Gorch-Fock-Straße",9.418663,53.795453
"Glückstadt, Grenzritt",9.409253,53.801524
"Glückstadt, Grillchaussee 40",9.439402,53.789153
"Glückstadt, Herrenfeld",9.437130,53.773429
"Glückstadt, Hinterm Hofe",9.434755,53.775567
"Glückstadt, Im Lübschen Recht",9.434957,53.789205
"Glückstadt, Im Pling",9.413005,53.797252
"Glückstadt, Janssenweg",9.420324,53.791638
"Glückstadt, Kimming",9.409010,53.803088
"Glückstadt, Königsberger Straße",9.424647,53.800473
"Glückstadt, Königsberger Straße (stillgelegt)",9.420823,53.802050
"Glückstadt, Königskoppel",9.415405,53.795932
"Glückstadt, Krankenhaus",9.431196,53.790836
"Glückstadt, Marienburger Straße",9.428537,53.803882
"Glückstadt, Nordmarkstraße (West)",9.427589,53.783796
"Glückstadt, Reichenberger Straße",9.428465,53.802741
"Glückstadt, Reichenberger Straße (aufgelöst)",9.427945,53.802357
"Glückstadt, Reichenstraße",9.422176,53.785648
"Glückstadt, Rhinstraße",9.429524,53.786116
"Glückstadt, Schmiedestraße",9.435699,53.775860
"Glückstadt, Schwanenstraße",9.442708,53.783228
"Glückstadt, Sperforkenweg",9.416015,53.803881
"Glückstadt, Sperrwerk",9.416062,53.785687
"Glückstadt, St. Marien Kirche",9.422232,53.795773
"Glückstadt, Stadtstraße (Mitte)",9.432403,53.779843
"Glückstadt, Stettiner Straße",9.418427,53.800701
"Glückstadt, Temmingstraße",9.432493,53.778261
"Glückstadt, Von-Drathen-Weg",9.432483,53.794973
"Glückstadt, Wanda-Oesau-Straße",9.412979,53.794647
"Glückstadt, Wiebeke-Kruse-Straße",9.436746,53.797788
Gluckstraße,10.038945,53.572054
"Glüsing, Bergstraße",10.508573,53.378900
"Glüsing, Berliner Straße",10.516686,53.376290
Glüsingen (LK Harburg),10.016595,53.408655
"Glüsingen, Triftweg",10.019613,53.410364
Glüsingen-Lohe,10.004559,53.402027
"Gnissau, Abzweigung Strenglin",10.474448,53.994380
"Gnissau, Eiche",10.482510,53.999384
"Gnissau, Otternbergskamp",10.483587,54.002633
"Gnissau, Segeberger Straße",10.482039,53.997279
"Göddingen, Am Fischteich",10.764497,53.253504
"Göddingen, Wöppenberg",10.761018,53.256719
Godeffroystraße,9.818640,53.560458
"Gödenstorf, Bahnhofstraße 3",10.129706,53.229017
"Gödenstorf, Bornbruchweg",10.128527,53.228615
"Gödenstorf, Buchenberg",10.121131,53.228658
Goebenstraße,9.961995,53.577738
Goerdelerstraße,10.210924,53.501453
Goethestraße,9.940090,53.551990
Goetjensorter Deich,10.048162,53.490619
Göhlbachtal,9.954691,53.453268
Göhrde,10.851123,53.167750
"Gokels, Nord",9.466299,54.114560
"Gokels, Ohrsee",9.469037,54.102420
"Gokels, Süd",9.470439,54.110105
"Goldbeck, Nindorfer Straße",9.631752,53.407818
"Goldbeck, Sauensieker Straße",9.628623,53.404663
Goldbekplatz,10.009767,53.583553
"Goldenbek, Neukoppeler Straße",10.491569,53.938801
"Goldenbek, Pronstorfer Straße",10.482726,53.947114
"Goldenbek, Schule",10.490035,53.939359
Goldene Wiege (Jahnhöhe),9.935158,53.458355
Göldenitz,10.631041,53.722462
Goldensee,10.922604,53.688131
Goldröschenweg,10.068513,53.651421
Göls,10.366486,53.992063
"Gönnebek, Dörpplatz",10.178404,54.049222
"Gönnebek, Fiendsmoor",10.197521,54.054586
"Gönnebek, Gärtnersiedlung",10.198735,54.048985
"Gönnebek, Kroogredder",10.187982,54.034941
"Gönnebek, Neen Kamp",10.181790,54.044256
Gorch-Fock-Schule,9.801845,53.562962
Goseburg,10.104381,53.471647
Gosewerder,11.084070,53.153368
Gothaer Weg,10.110849,53.542770
Götkensweg,10.026830,53.671904
Göttin,10.703335,53.531733
Gottschalkring,9.966263,53.449751
Gottschalkweg,9.943343,53.635725
Götzberg,10.041922,53.793389
"Götzdorf, Götzdorfer Straße 125",9.463643,53.634558
"Götzdorf, Götzdorfer Straße 169",9.470275,53.636841
"Götzdorf, Götzdorfer Straße 221",9.476979,53.637434
"Götzdorf, Schneedeich",9.478960,53.637480
"Grabau (Oldesloe), Alte Schäferei",10.257099,53.805710
"Grabau (Oldesloe), Dorfstraße",10.274274,53.803929
"Grabau (Oldesloe), Lindenallee",10.274119,53.803320
"Grabau (RZ), Dorfstraße 45",10.524589,53.514468
"Grabau (RZ), Gewerbepark",10.503481,53.520818
"Grabau (RZ), Grover Weg",10.516018,53.513004
"Grabau (RZ), Vor den Höfen",10.502940,53.521311
Grachtenplatz,10.176666,53.482889
Graf-Anton-Weg,9.944259,53.627206
Graf-Johann-Weg,9.919271,53.627943
Graf-Otto-Weg,9.912483,53.645290
Graf-Otto-Weg (West),9.908682,53.644422
"Grambek, Am Brink",10.681908,53.571809
"Grambek, Ringstraße",10.680279,53.574896
"Grande, Billeweg",10.394545,53.589767
"Grande, Lauenburger Straße",10.388582,53.579736
"Grande, Möllner Landstraße",10.387744,53.580420
"Grande, Tannenweg",10.390783,53.582388
Granderheide (Ost),10.376290,53.596394
Granderheide (West),10.367577,53.591812
Grandkoppel,10.191070,53.503935
Grandkoppel (West),10.186398,53.505554
Grandkoppelstieg,10.191899,53.506101
Grandweg,9.959579,53.594399
Grandweg (Süd),9.967584,53.585834
"Gräpel, Abzweig Hude",9.198100,53.559756
"Gräpel, Am Friedhof",9.175155,53.569038
"Gräpel, Dorfstraße",9.180995,53.565148
"Gräpel, Heideweg",9.181031,53.569981
"Gräpel, Schönau",9.171571,53.582224
"Gräpel, Vorm Dorf",9.181730,53.567554
Grashofweg,10.232525,53.453787
Grauel,9.673341,54.071513
"Grauen, Am Kinderspielplatz",9.747130,53.402470
"Grauen, Ortsmitte",9.746979,53.404160
Graumannsweg,10.016361,53.561968
"Grefenmoor, Abzweig Hammah",9.369796,53.593419
"Grefenmoor, Grefenmoor 1",9.381873,53.594558
"Grefenmoor, Mühle",9.378940,53.592510
Greifenberger Straße,10.135558,53.617037
Greifenberger Straße (Ost),10.144830,53.618458
Grelckstraße,9.953537,53.602426
Grellkamp,9.996509,53.648323
Grenzacker,9.892910,53.620101
Grenzkehre,9.984478,53.416625
Grevelau 39,10.176538,53.355742
Grevelau 86,10.184652,53.356947
"Grevenkop, Am Rundhof",9.498011,53.836012
"Grevenkop, Feuerwehr",9.536336,53.842019
"Grevenkop, Grevenkoper Riep",9.516360,53.842161
"Grevenkop, Haupstraße 18",9.543567,53.841924
Grevenweg,10.043423,53.550998
"Gribbohm, An der Bundesstraße",9.328658,54.018011
"Gribbohm, Fasanenweg",9.348877,54.025726
"Gribbohm, Langenklinter Weg",9.347273,54.029252
"Gribbohm, Niewisch",9.352410,54.024979
Griegstraße,9.909813,53.554399
"Griemshorst, Abzweig Weißenfelde",9.529814,53.423401
"Griemshorst, Auebrücke",9.513206,53.425828
"Griemshorst, Kammerbuscherweg",9.535795,53.419376
Griesstraße,10.047144,53.562368
Grimmstraße,9.813517,53.580548
"Grinau, Kropsöhler Weg",10.547192,53.772637
"Grinau, Trenthorster Weg",10.547853,53.776582
Grindelhof,9.980949,53.567075
"Grönwohld, An der Millerbek",10.409529,53.637898
"Grönwohld, Dorfstraße",10.407678,53.643159
"Grönwohld, Drahtmühle",10.393068,53.635746
"Grönwohld, Grönwohldhof",10.409860,53.647814
"Grönwohld, Hohe Leuchte",10.408530,53.656897
"Grönwohld, Im Winkel",10.401666,53.640605
"Grönwohld, Linauer Berg",10.408940,53.641994
"Grönwohld, Papierholz",10.406821,53.633320
"Grönwohld, Schule",10.408175,53.641715
"Grönwohld, Steinern 11",10.427742,53.642633
Grootmoor,10.105031,53.632643
"Groß Aspe, Brester Straße",9.373138,53.463789
"Groß Aspe, Heckenweg",9.364257,53.464042
"Groß Aspe, Landstraße 42",9.354502,53.466048
Groß Banratz,10.939117,53.241070
"Groß Barnitz, Abzweigung Lokfeld",10.504582,53.806094
"Groß Barnitz, Dieckkamp",10.494343,53.805889
"Groß Barnitz, Westerauer Straße",10.500543,53.806064
"Groß Boden, Feuerwehrhaus",10.453070,53.752430
"Groß Boden, Riekenhagen",10.452398,53.749652
Groß Disnack,10.694437,53.745548
Groß Flottbeker Straße,9.878572,53.569386
"Groß Grönau, Am Hornstorfer Weg",10.749638,53.801482
"Groß Grönau, Am Rehsprung",10.724028,53.819169
"Groß Grönau, Am Sonnenberg",10.750434,53.801641
"Groß Grönau, Am Torfmoor",10.743587,53.811850
"Groß Grönau, Am Vierth",10.751525,53.799774
"Groß Grönau, Berliner Straße",10.725734,53.821148
"Groß Grönau, Gemeindezentrum",10.727506,53.822120
"Groß Grönau, Klein Grönau",10.748401,53.808222
"Groß Grönau, Nädlershorster Weg",10.755401,53.796635
"Groß Grönau, Rehhagen",10.731579,53.818162
"Groß Grönau, Tannenredder",10.731046,53.822177
"Groß Grönau, Waldschule",10.746318,53.812889
"Groß Grönau, Wurzelredder",10.736829,53.815480
Groß Kühren,10.917123,53.236338
"Groß Kummerfeld, Birkenallee",10.073088,54.047702
"Groß Kummerfeld, Birkenallee (Mitte)",10.075621,54.047625
"Groß Kummerfeld, Brammerhörn",10.128425,54.039495
"Groß Kummerfeld, Hauptstraße",10.070218,54.048320
"Groß Kummerfeld, Husberger Weg",10.074202,54.051232
"Groß Kummerfeld, Marienhof",10.120435,54.042059
"Groß Kummerfeld, Rehmkoppel",10.066788,54.047911
"Groß Kummerfeld, Schulstraße",10.080339,54.048248
Groß Moor,10.046598,53.444878
"Groß Niendorf, B 432",10.242538,53.851246
"Groß Niendorf, Dorfstraße",10.244325,53.848469
"Groß Niendorf, Feuerwehr",10.241387,53.845229
"Groß Nordende, Am Gemeindezentrum",9.648544,53.705182
"Groß Nordende, Kahlkes Weg",9.649118,53.698244
"Groß Nordende, Lander",9.632871,53.706237
"Groß Offenseth, Dorfstraße (West)",9.718758,53.817407
"Groß Offenseth, Gemeindezentrum",9.734774,53.813078
"Groß Offenseth, Hütten",9.730244,53.826272
"Groß Offenseth, Rosenstraße",9.744207,53.802728
"Groß Offenseth, Tannenhof",9.730950,53.817695
Groß Pampau,10.560672,53.522008
"Groß Rönnau, Brookhof",10.313832,53.985192
"Groß Rönnau, Lindenweg",10.312760,53.971969
"Groß Rönnau, Stückenkoppel",10.306874,53.972339
"Groß Sarau, Alte Salzstraße",10.742049,53.775498
"Groß Sarau, Bavernsee",10.737293,53.771640
"Groß Sarau, Grüner Weg",10.734576,53.769019
"Groß Sarau, Klempauer Straße",10.735078,53.769057
"Groß Sarau, Schanzenberg",10.749271,53.779535
"Groß Sarau, Seekrug",10.730000,53.798640
"Groß Sarau, Ziegelhorst",10.757169,53.790993
"Groß Schenkenberg, Bliestorfer Weg",10.590306,53.798023
"Groß Schenkenberg, Grinauer Straße",10.564808,53.793156
"Groß Schretstaken, A.-Paul-Weber-Straße",10.544134,53.585062
"Groß Schretstaken, Fuhlenhagener Weg",10.544784,53.585494
"Groß Schretstaken, Kirche",10.543408,53.585449
Groß Sommerbeck 3,10.680947,53.204711
"Groß Sterneberg, Am Kanal 1",9.362342,53.647109
"Groß Sterneberg, Am Kanal 11",9.369975,53.653528
"Groß Sterneberg, Am Kanal 5",9.367247,53.651236
"Groß Sterneberg, Am Kanal 6",9.368116,53.651988
"Groß Sterneberg, Groß Sterneberger Straße 15",9.387725,53.633654
"Groß Sterneberg, Groß Sterneberger Straße 5",9.399910,53.629074
"Groß Sterneberg, Groß Sterneberger Straße 9a",9.393650,53.631457
"Groß Sterneberg, Moorvogtei",9.366064,53.640350
"Groß Sterneberg, Wendeplatz",9.373338,53.637048
"Groß Todtshorn, Dorfstraße",9.779382,53.214869
Groß Weeden,10.602394,53.746850
"Groß Wesenberg, Dorfplatz",10.539747,53.819512
"Groß Wesenberg, Mühlenkamp",10.536861,53.822389
Groß Zecher,10.901945,53.603630
Große Bergstraße,9.946229,53.551223
Große Brunnenstraße,9.925594,53.550809
Große Elbstraße,9.942525,53.544126
Große Freiheit,9.958354,53.551629
Große Rainstraße,9.932351,53.554108
Große Straße,9.923757,53.450528
Großenaspe,9.970146,53.981219
"Großenaspe, Baß",10.013692,53.947148
"Großenaspe, Diekstücken",9.971977,53.979991
"Großenaspe, Freiweide",9.990629,53.986182
"Großenaspe, Glindam",9.942112,53.983212
"Großenaspe, Hinter der Bahn",9.961592,53.977172
"Großenaspe, Johann-Hinrich-Fehrs-Straße",9.967645,53.971310
"Großenaspe, Schule",9.974501,53.973843
"Großensee, Fritz-Berodt-Straße",10.341860,53.615287
"Großensee, Glashütte",10.329690,53.597352
"Großensee, Hamburger Straße",10.340978,53.615593
"Großensee, Kamphöhe",10.338191,53.611581
"Großensee, Petersweg",10.342176,53.611437
"Großensee, Pfefferberg (oben)",10.343736,53.626767
"Großensee, Pfefferberg (unten)",10.343766,53.623424
"Großensee, Schierholzkaten",10.306612,53.613089
"Großensee, Schwarzekate",10.319931,53.613284
"Großensee, Sieker Straße (Nord)",10.311523,53.632570
"Großensee, Wischhof",10.339396,53.619088
"Großenwörden, Am Dubben",9.262266,53.678890
"Großenwörden, Am Glind",9.256248,53.679837
"Großenwörden, Im Strich 11",9.244605,53.681470
"Großenwörden, Im Strich 19",9.239742,53.683366
"Großenwörden, Im Strich 2",9.249565,53.680750
"Großenwörden, Im Strich 26",9.233849,53.685067
"Großenwörden, Im Strich 29",9.229457,53.684501
"Großenwörden, In der Helle",9.271530,53.676982
"Großenwörden, Ostedeich",9.215818,53.684113
"Großenwörden, Seestraße (Wendeplatz)",9.296202,53.690715
"Großenwörden, Seestraße 10",9.282041,53.687380
"Großenwörden, Seestraße 15",9.284580,53.688938
"Großenwörden, Seestraße 19",9.286220,53.689796
"Großenwörden, Seestraße 3",9.267063,53.678879
Großer Ring,9.925984,53.641108
Großhansdorf,10.286994,53.663100
"Großhansdorf, Lungenclinic",10.283431,53.661835
"Großhansdorf, Rosenhof",10.290421,53.665821
"Großhansdorf, Schule Wöhrendamm",10.283181,53.661092
"Großhansdorf, Waldreiterweg",10.275432,53.663475
Großheidestraße,10.027162,53.585400
Großlohe,10.181972,53.602076
Großmannstraße,10.048898,53.541156
Großmoorbogen,10.006049,53.453044
Großmoorbogen (Neuländer See),10.010798,53.460291
Großmoordamm 121,10.009253,53.451687
Großmoordamm 181,10.017704,53.448785
Großmoorring,10.008633,53.456634
Grotefendweg,9.827306,53.566545
Grothwisch,9.918701,53.651767
Grotiusweg (Mitte),9.765741,53.569497
Grotkoppelweg,9.970113,53.639483
"Grove, Alte Dorfstraße",10.493794,53.528758
"Grove, Kastanienallee",10.492839,53.526910
Grubenstieg,9.857684,53.582180
Grumbrechtstraße,9.967958,53.468023
Gründgensstraße (Ost),10.066143,53.613830
Gründgensstraße (West),10.045791,53.611476
Grundheide,9.855180,53.464149
"Grundoldendorf, Kreuzung",9.595447,53.470884
Grüne Brücke,10.040843,53.543634
Grünebergstraße,9.914465,53.558083
